idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
1154H,-4.027419,2026-04-13T00:00:00+0000,0.2,110.0,5.4,2.3,249.0,43.358515,285.0,TORRELAVEGA-SIERRAPANDO,90.0,7.6,7.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,
1159,-4.392103,2026-04-13T00:00:00+0000,0.1,38.0,9.8,3.8,270.0,43.393456,269.0,SAN VICENTE  FARO,78.0,8.7,9.1,9.2,1013.3,,,1018.2,5.5,,,,,,,134.0,,,,,,,,,,,,
1167B,-4.812779,2026-04-13T00:00:00+0000,0.0,1100.0,4.1,1.7,238.0,43.143893,177.0,FUENTE DÉ-TELEFÉRICO,82.0,0.5,1.7,1.7,,,,,,,,,,,,,,,,,,,,,,,,
1167H,-4.834772,2026-04-13T00:00:00+0000,,2330.62,14.4,7.4,25.0,43.176187,49.0,CABAÑA VERÓNICA  PARQUE NACIONAL PICOS DE EUROPA,97.0,-7.1,-6.6,-6.6,762.0,2.1,,1018.5,-7.1,,19.0,,,,,,,,,,,,,,,,,
1167J,-4.773842,2026-04-13T00:00:00+0000,,1721.85,8.5,1.6,213.0,43.089184,253.0,CORISCAO  PARQUE NACIONAL PICOS DE EUROPA,93.0,-3.6,-3.0,-3.0,823.2,1.1,,1018.7,-3.9,,88.0,,,,,,,,,,,,,,,,,
1174I,-4.601783,2026-04-13T00:00:00+0000,0.0,250.0,4.4,0.5,155.0,43.182862,160.0,TAMA,86.0,4.4,4.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,
1176A,-4.668234,2026-04-13T00:00:00+0000,0.0,940.0,10.9,5.9,255.0,43.255713,237.0,TRESVISO,83.0,2.6,2.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,
1178I,-4.820994,2026-04-13T00:00:00+0000,,1970.0,10.9,3.9,78.0,43.202495,118.0,VEGA DE URRIELLU  PARQUE NACIONAL PICOS DE EUROPA,88.0,-4.6,-4.0,-3.9,788.4,1.7,,1006.3,-5.7,,53.0,,,,,,,,,,,,,,,,,
1178M,-4.921692,2026-04-13T00:00:00+0000,,1650.69,7.9,4.7,296.0,43.243922,278.0,VEGA DE ARIO  PARQUE NACIONAL PICOS DE EUROPA,98.0,-2.9,-2.6,-2.6,819.2,1.1,,1004.7,-2.7,,16.0,,,,,,,,,,,,,,,,,
1178R,-4.736775,2026-04-13T00:00:00+0000,0.0,1235.71,9.0,3.1,272.0,43.237387,255.0,SOTRES  PARQUE NACIONAL PICOS DE EUROPA,94.0,0.1,0.2,0.3,875.6,1.4,,1019.4,-0.7,,18.0,,,,,,,,,,,,,,,,,
1178Y,-4.931762,2026-04-13T00:00:00+0000,0.0,953.0,,,,43.145376,,SOTO DE VALDEÓN (AUTOMATICA),86.0,2.7,2.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,
1179B,-4.852774,2026-04-13T00:00:00+0000,0.2,458.0,8.4,4.0,308.0,43.311112,312.0,CARREÑA DE CABRALES,99.0,4.8,4.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,
1183X,-4.748056,2026-04-13T00:00:00+0000,0.0,10.0,7.1,3.2,250.0,43.420278,274.0,LLANES,70.0,9.6,9.7,10.0,1016.9,1.3,9.4,1018.1,4.5,19.6,19.0,0.0,14.3,,,,,,0.0,,,,,,,,,
1186P,-5.119247,2026-04-13T00:00:00+0000,0.4,370.0,3.0,0.6,37.0,43.266631,35.0,AMIEVA  PANIZALES,98.0,5.4,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
1191D,-5.00172,2026-04-13T00:00:00+0000,,1505.0,9.2,3.9,356.0,43.177372,338.0,PICO COTORRA  PARQUE NACIONAL PICOS DE EUROPA,100.0,-2.1,-1.9,-1.9,847.3,0.6,,,,,15.0,,,,,,,,,,,,,,,,,
1199X,-5.396674,2026-04-13T00:00:00+0000,0.0,280.0,1.0,0.2,215.0,43.377836,215.0,BARGAÉU PILOÑA,98.0,5.8,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1203D,-5.247153,2026-04-13T00:00:00+0000,0.6000000000000001,30.0,5.1,2.9,251.0,43.492352,247.0,COLUNGA,93.0,7.5,7.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,
1207U,-5.621111,2026-04-13T00:00:00+0000,1.0,25.8,3.7,1.3,160.0,43.523056,340.0,GIJÓN-CAMPUS,93.0,7.9,7.9,8.4,1015.2,0.3,10.3,1018.8,6.8,16.9,17.0,0.0,13.5,,,,,,0.8700000000000001,,,,,14.3,,,,
1208H,-5.700833,2026-04-13T00:00:00+0000,0.5,5.0,6.2,1.5,212.0,43.559722,243.0,GIJÓN  MUSEL,93.0,8.8,9.3,9.6,1018.1,,,,,,,,,,,67.0,,,,,,,,,,,,
1212E,-6.044173,2026-04-13T00:00:00+0000,0.0,127.0,5.1,3.2,200.0,43.566941,220.0,ASTURIAS/AVILÉS,86.0,6.9,7.0,7.9,1003.1,0.4,11.1,1019.7,4.8,,2.0,0.0,,,,,,,,,,,,,,,,
1221D,-5.776392,2026-04-13T00:00:00+0000,0.0,1480.0,3.6,1.4,301.0,42.978608,303.0,PAJARES - VALGRANDE,99.0,-2.2,-2.1,-2.0,,,,,-2.2,,,,,,,56.0,,,,,,,,,,,,
1223P,-5.822748,2026-04-13T00:00:00+0000,0.0,370.0,0.9,0.2,232.0,43.132706,237.0,RONZÓN,98.0,5.2,5.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,
1226X,-5.476919,2026-04-13T00:00:00+0000,0.2,750.0,1.1,0.5,124.0,43.095177,320.0,CUEVAS DE FELECHOSA,97.0,3.6,3.6,3.7,,,,,,,,,,,,,,,,,,,,,,,,
1234P,-5.819274,2026-04-13T00:00:00+0000,0.0,170.0,1.1,0.5,206.0,43.274885,27.0,MIERES-BAÍÑA,96.0,7.2,7.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,
1249X,-5.873889,2026-04-13T00:00:00+0000,0.0,334.44,2.2,1.5,203.0,43.353333,200.0,OVIEDO,90.0,6.6,6.7,6.7,978.4,0.4,7.6,1019.3,5.1,20.0,9.0,0.0,7.1,,,,,,0.0,,,,,13.2,,,,
1272B,-6.386539,2026-04-13T00:00:00+0000,0.0,280.0,2.5,0.5,293.0,43.290276,275.0,SOUTU  LA BARCA,94.0,5.8,5.8,5.9,,,,,,,,,,,,,,,,,,,,,,,,
1276F,-6.256944,2026-04-13T00:00:00+0000,0.0,670.0,1.4,0.3,214.0,43.1,245.0,POLA DE SOMIEDO-DEPURADORA,100.0,3.3,3.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,
